OBJECTID,LAND,BEZ,LOR,STRASSE,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
208147,11,8,8020728,Buckow Ost,8200833,2018,12,4,1,3,5,3,2,0,1,0,0,0,0,1,802125,8684,5816786,576
208148,11,3,3061228,Erich-Weinert-Stra�e,3601245,2018,12,7,4,3,5,2,1,1,1,0,0,0,0,0,800559,7238,5831407,563
208149,11,9,9010401,Johannisthal West,9100407,2018,12,13,6,2,9,1,0,0,1,0,0,0,0,1,805150,1885,5821478,428
208150,11,5,5030730,Zitadellenweg,5300736,2018,12,1,1,2,6,4,2,0,1,1,0,0,0,1,786652,3984,5829243,858
208151,11,11,11010205,Falkenberg West,11100204,2018,12,7,4,3,5,2,2,1,1,0,0,0,0,1,806852,4118,5832683,49
208152,11,9,9020702,Adlershof Ost,9200717,2018,12,1,1,3,1,5,2,0,1,0,0,0,0,1,809699,8079,5819132,87
208153,11,2,2020204,Urbanstra�e,2200210,2018,12,0,1,3,5,3,2,0,1,0,0,0,0,1,798794,2045,5824926,451
208154,11,6,6030610,Lichterfelde West                                                                                   ,6300634,2018,12,6,4,2,6,2,2,0,1,1,0,0,0,1,791907,165,5818944,22
208155,11,9,9010202,K�penicker Landstra�e,9100203,2018,12,5,1,3,5,3,2,0,1,0,0,0,0,1,804111,32,5824359,311
208156,11,4,4031032,Halensee,4500937,2018,12,20,7,3,6,4,2,0,1,1,0,0,0,1,791769,6384,5825166,585
208157,11,10,10010308,Marzahner Chaussee,10100311,2018,12,12,6,3,0,3,0,1,0,0,0,1,0,1,806585,2221,5828094,724
208158,11,4,4010103,Paul-Hertz-Siedlung,4100102,2018,12,15,3,3,5,3,0,0,1,0,0,0,0,0,791497,3424,5829247,39
208159,11,12,12214125,Waldidyll/Flughafensee,12200414,2018,12,16,7,3,6,2,1,0,1,1,0,0,0,1,791910,929,5831509,2
208160,11,6,6030609,Augustaplatz,6300633,2018,12,21,3,2,6,4,2,0,1,1,0,0,0,0,793196,9497,5819788,938
208161,11,3,3061131,Falkplatz,3601142,2018,12,19,3,3,0,5,2,0,1,0,0,0,1,0,798796,3768,5831074,824
208162,11,2,2020204,Urbanstra�e,2200210,2018,12,23,7,3,2,6,2,0,1,0,0,0,0,1,798720,1,5824698,315
208163,11,8,8010118,Silbersteinstra�e,8100105,2018,12,17,3,3,6,2,2,0,1,1,0,0,0,0,801039,3779,5822074,783
208164,11,4,4020314,Messegel�nde,4200311,2018,12,21,7,3,3,6,2,0,1,0,0,0,0,1,790347,8513,5825662,292
208165,11,1,1011301,Charit�viertel,1100308,2018,12,18,3,3,5,2,2,1,1,0,0,0,0,0,797244,4862,5829094,5
208166,11,6,6030503,Zehlendorf Mitte                                                                                    ,6300526,2018,12,18,7,3,6,4,1,0,0,1,0,0,1,0,789486,1342,5817638,658
