OBJECTID,LAND,BEZ,LOR,STRASSE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
192052,11,10,10010102,Havemannstra�e,2019,2,14,5,3,6,4,0,0,1,1,0,0,0,0,809964,4385,5834535,877
192053,11,1,1022206,L�neburger Stra�e,2019,2,14,7,3,0,7,0,0,1,0,0,0,1,0,796425,273,5828596,967
192054,11,11,11010309,Zingster Stra�e West,2019,2,20,7,3,5,2,2,0,1,0,0,0,0,1,804416,9952,5833377,312
192055,11,9,9051901,Dammvorstadt,2019,2,18,7,3,2,6,2,0,1,0,0,0,0,1,809683,962,5821311,777
192056,11,6,6010205,S�dende,2019,2,5,5,3,3,6,2,0,1,0,0,0,0,0,796010,1437,5819872,42
192057,11,1,1011305,Heine-Viertel West,2019,2,17,7,3,9,1,2,0,0,0,0,0,1,0,799218,5895,5827172,358
192058,11,4,4010102,Pl�tzensee,2019,2,15,7,3,5,2,0,0,1,0,0,0,0,0,793353,982,5829678,816
192059,11,4,4010102,Pl�tzensee,2019,2,15,7,3,5,2,0,0,1,0,0,0,0,0,793341,673,5829714,923
192060,11,1,1033203,Humboldthain Nordwest,2019,2,11,6,2,6,2,0,0,0,1,0,1,0,0,796846,834,5830319,929
192061,11,4,4051655,Babelsberger Stra�e,2019,2,14,7,3,3,6,0,1,1,0,0,0,0,0,794396,2008,5824180,77
192062,11,5,5030731,Gartenfelder Stra�e,2019,2,14,7,3,0,2,0,1,1,0,0,0,0,0,787978,7442,5830394,277
192063,11,8,8040933,Vogelviertel S�d,2019,2,9,5,3,0,1,0,1,0,0,0,0,0,1,803025,944,5819379,62
192064,11,7,7040403,Manteuffelstra�e,2019,2,20,7,2,5,3,2,0,1,0,0,0,0,1,797854,9371,5821887,666
192065,11,5,5010313,Ackerstra�e,2019,2,20,7,2,6,4,2,0,1,1,0,0,0,1,784663,2226,5829717,353
192066,11,4,4051448,Schaperstra�e,2019,2,13,7,3,2,6,0,0,1,0,0,0,1,0,794350,2675,5825430,17
192067,11,1,1044202,Sparrplatz,2019,2,14,4,3,5,2,0,1,1,0,0,0,0,0,795536,22,5830472,575
192068,11,3,3061126,Arnimplatz,2019,2,13,7,3,5,3,0,0,1,0,0,0,0,0,798823,2127,5831623,567
192069,11,9,9051901,Dammvorstadt,2019,2,13,7,3,2,6,0,0,1,0,0,0,0,0,810190,8848,5821526,516
192070,11,1,1022104,Emdener Stra�e,2019,2,12,7,3,5,2,0,1,1,0,0,0,0,1,794587,425,5828438,769
192071,11,2,2050802,Boxhagener Platz,2019,2,7,4,3,2,2,0,1,1,0,0,0,0,0,801988,3694,5826925,116
192072,11,7,7050503,Eisenacher Stra�e,2019,2,12,7,2,5,2,0,1,1,0,0,0,0,0,799223,1157,5820044,142
192073,11,9,9020501,Obersch�neweide West,2019,2,12,7,3,2,6,0,0,1,0,0,0,0,0,806526,5216,5822524,433
192074,11,3,3050919,Gustav-Adolf-Stra�e,2019,2,14,7,3,5,3,0,1,0,0,0,0,1,0,801320,7825,5832448,911
192075,11,6,6020411,Sch�tte-Lanz-Stra�e,2019,2,18,5,2,0,3,1,0,0,0,0,0,1,0,793615,4209,5815913,53
192076,11,4,4030931,Breitscheidplatz,2019,2,10,6,3,1,5,0,0,1,0,0,1,0,0,794202,3545,5825661,737
